car_ID,CarName,fueltype,doornumber,carbody,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,cylindernumber,enginesize,horsepower,peakrpm,citympg,highwaympg,price
57,mazda glc,gas,two,hatchback,front,95.3,169.0,65.7,49.6,2380,two,70,101,6000,17,23,11845.0
58,mazda rx-7 gs,gas,two,hatchback,front,95.3,169.0,65.7,49.6,2385,two,70,101,6000,17,23,13645.0
59,mazda glc 4,gas,two,hatchback,front,95.3,169.0,65.7,49.6,2500,two,80,135,6000,16,23,15645.0
60,mazda 626,gas,two,hatchback,front,98.8,177.8,66.5,53.7,2385,four,122,84,4800,26,32,8845.0
61,mazda glc custom l,gas,four,sedan,front,98.8,177.8,66.5,55.5,2410,four,122,84,4800,26,32,8495.0
62,mazda glc custom,gas,two,hatchback,front,98.8,177.8,66.5,53.7,2385,four,122,84,4800,26,32,10595.0
63,mazda rx-4,gas,four,sedan,front,98.8,177.8,66.5,55.5,2410,four,122,84,4800,26,32,10245.0
64,mazda glc deluxe,diesel,four,sedan,front,98.8,177.8,66.5,55.5,2443,four,122,64,4650,36,42,10795.0
65,mazda 626,gas,four,hatchback,front,98.8,177.8,66.5,55.5,2425,four,122,84,4800,26,32,11245.0
66,mazda glc,gas,four,sedan,front,104.9,175.0,66.1,54.4,2670,four,140,120,5000,19,27,18280.0
67,mazda rx-7 gs,diesel,four,sedan,front,104.9,175.0,66.1,54.4,2700,four,134,72,4200,31,39,18344.0
68,buick electra 225 custom,diesel,four,sedan,front,110.0,190.9,70.3,56.5,3515,five,183,123,4350,22,25,25552.0
69,buick century luxus (sw),diesel,four,wagon,front,110.0,190.9,70.3,58.7,3750,five,183,123,4350,22,25,28248.0
70,buick century,diesel,two,hardtop,front,106.7,187.5,70.3,54.9,3495,five,183,123,4350,22,25,28176.0
71,buick skyhawk,diesel,four,sedan,front,115.6,202.6,71.7,56.3,3770,five,183,123,4350,22,25,31600.0
72,buick opel isuzu deluxe,gas,four,sedan,front,115.6,202.6,71.7,56.5,3740,eight,234,155,4750,16,18,34184.0
73,buick skylark,gas,two,convertible,front,96.6,180.3,70.5,50.8,3685,eight,234,155,4750,16,18,35056.0
74,buick century special,gas,four,sedan,front,120.9,208.1,71.7,56.7,3900,eight,308,184,4500,14,16,40960.0
75,buick regal sport coupe (turbo),gas,two,hardtop,front,112.0,199.2,72.0,55.4,3715,eight,304,184,4500,14,16,45400.0
76,mercury cougar,gas,two,hatchback,front,102.7,178.4,68.0,54.8,2910,four,140,175,5000,19,24,16503.0
77,mitsubishi mirage,gas,two,hatchback,front,93.7,157.3,64.4,50.8,1918,four,92,68,5500,37,41,5389.0
78,mitsubishi lancer,gas,two,hatchback,front,93.7,157.3,64.4,50.8,1944,four,92,68,5500,31,38,6189.0
79,mitsubishi outlander,gas,two,hatchback,front,93.7,157.3,64.4,50.8,2004,four,92,68,5500,31,38,6669.0
80,mitsubishi g4,gas,two,hatchback,front,93.0,157.3,63.8,50.8,2145,four,98,102,5500,24,30,7689.0
81,mitsubishi mirage g4,gas,two,hatchback,front,96.3,173.0,65.4,49.4,2370,four,110,116,5500,23,30,9959.0
82,mitsubishi g4,gas,two,hatchback,front,96.3,173.0,65.4,49.4,2328,four,122,88,5000,25,32,8499.0
83,mitsubishi outlander,gas,two,hatchback,front,95.9,173.2,66.3,50.2,2833,four,156,145,5000,19,24,12629.0
84,mitsubishi g4,gas,two,hatchback,front,95.9,173.2,66.3,50.2,2921,four,156,145,5000,19,24,14869.0
85,mitsubishi mirage g4,gas,two,hatchback,front,95.9,173.2,66.3,50.2,2926,four,156,145,5000,19,24,14489.0
86,mitsubishi montero,gas,four,sedan,front,96.3,172.4,65.4,51.6,2365,four,122,88,5000,25,32,6989.0
87,mitsubishi pajero,gas,four,sedan,front,96.3,172.4,65.4,51.6,2405,four,122,88,5000,25,32,8189.0
88,mitsubishi outlander,gas,four,sedan,front,96.3,172.4,65.4,51.6,2403,four,110,116,5500,23,30,9279.0
89,mitsubishi mirage g4,gas,four,sedan,front,96.3,172.4,65.4,51.6,2403,four,110,116,5500,23,30,9279.0
90,Nissan versa,gas,two,sedan,front,94.5,165.3,63.8,54.5,1889,four,97,69,5200,31,37,5499.0
91,nissan gt-r,diesel,two,sedan,front,94.5,165.3,63.8,54.5,2017,four,103,55,4800,45,50,7099.0
92,nissan rogue,gas,two,sedan,front,94.5,165.3,63.8,54.5,1918,four,97,69,5200,31,37,6649.0
93,nissan latio,gas,four,sedan,front,94.5,165.3,63.8,54.5,1938,four,97,69,5200,31,37,6849.0
94,nissan titan,gas,four,wagon,front,94.5,170.2,63.8,53.5,2024,four,97,69,5200,31,37,7349.0
95,nissan leaf,gas,two,sedan,front,94.5,165.3,63.8,54.5,1951,four,97,69,5200,31,37,7299.0
96,nissan juke,gas,two,hatchback,front,94.5,165.6,63.8,53.3,2028,four,97,69,5200,31,37,7799.0
97,nissan latio,gas,four,sedan,front,94.5,165.3,63.8,54.5,1971,four,97,69,5200,31,37,7499.0
98,nissan note,gas,four,wagon,front,94.5,170.2,63.8,53.5,2037,four,97,69,5200,31,37,7999.0
99,nissan clipper,gas,two,hardtop,front,95.1,162.4,63.8,53.3,2008,four,97,69,5200,31,37,8249.0
100,nissan rogue,gas,four,hatchback,front,97.2,173.4,65.2,54.7,2324,four,120,97,5200,27,34,8949.0
101,nissan nv200,gas,four,sedan,front,97.2,173.4,65.2,54.7,2302,four,120,97,5200,27,34,9549.0
102,nissan dayz,gas,four,sedan,front,100.4,181.7,66.5,55.1,3095,six,181,152,5200,17,22,13499.0
103,nissan fuga,gas,four,wagon,front,100.4,184.6,66.5,56.1,3296,six,181,152,5200,17,22,14399.0
104,nissan otti,gas,four,sedan,front,100.4,184.6,66.5,55.1,3060,six,181,152,5200,19,25,13499.0
105,nissan teana,gas,two,hatchback,front,91.3,170.7,67.9,49.7,3071,six,181,160,5200,19,25,17199.0
106,nissan kicks,gas,two,hatchback,front,91.3,170.7,67.9,49.7,3139,six,181,200,5200,17,23,19699.0
107,nissan clipper,gas,two,hatchback,front,99.2,178.5,67.9,49.7,3139,six,181,160,5200,19,25,18399.0
108,peugeot 504,gas,four,sedan,front,107.9,186.7,68.4,56.7,3020,four,120,97,5000,19,24,11900.0
109,peugeot 304,diesel,four,sedan,front,107.9,186.7,68.4,56.7,3197,four,152,95,4150,28,33,13200.0
110,peugeot 504 (sw),gas,four,wagon,front,114.2,198.9,68.4,58.7,3230,four,120,97,5000,19,24,12440.0
111,peugeot 504,diesel,four,wagon,front,114.2,198.9,68.4,58.7,3430,four,152,95,4150,25,25,13860.0
112,peugeot 504,gas,four,sedan,front,107.9,186.7,68.4,56.7,3075,four,120,95,5000,19,24,15580.0
113,peugeot 604sl,diesel,four,sedan,front,107.9,186.7,68.4,56.7,3252,four,152,95,4150,28,33,16900.0
114,peugeot 504,gas,four,wagon,front,114.2,198.9,68.4,56.7,3285,four,120,95,5000,19,24,16695.0
115,peugeot 505s turbo diesel,diesel,four,wagon,front,114.2,198.9,68.4,58.7,3485,four,152,95,4150,25,25,17075.0
116,peugeot 504,gas,four,sedan,front,107.9,186.7,68.4,56.7,3075,four,120,97,5000,19,24,16630.0
117,peugeot 504,diesel,four,sedan,front,107.9,186.7,68.4,56.7,3252,four,152,95,4150,28,33,17950.0
118,peugeot 604sl,gas,four,sedan,front,108.0,186.7,68.3,56.0,3130,four,134,142,5600,18,24,18150.0
119,plymouth fury iii,gas,two,hatchback,front,93.7,157.3,63.8,50.8,1918,four,90,68,5500,37,41,5572.0
120,plymouth cricket,gas,two,hatchback,front,93.7,157.3,63.8,50.8,2128,four,98,102,5500,24,30,7957.0
121,plymouth fury iii,gas,four,hatchback,front,93.7,157.3,63.8,50.6,1967,four,90,68,5500,31,38,6229.0
122,plymouth satellite custom (sw),gas,four,sedan,front,93.7,167.3,63.8,50.8,1989,four,90,68,5500,31,38,6692.0
123,plymouth fury gran sedan,gas,four,sedan,front,93.7,167.3,63.8,50.8,2191,four,98,68,5500,31,38,7609.0
124,plymouth valiant,gas,four,wagon,front,103.3,174.6,64.6,59.8,2535,four,122,88,5000,24,30,8921.0
125,plymouth duster,gas,two,hatchback,front,95.9,173.2,66.3,50.2,2818,four,156,145,5000,19,24,12764.0
126,porsche macan,gas,two,hatchback,front,94.5,168.9,68.3,50.2,2778,four,151,143,5500,19,27,22018.0
127,porcshce panamera,gas,two,hardtop,rear,89.5,168.9,65.0,51.6,2756,six,194,207,5900,17,25,32528.0
128,porsche cayenne,gas,two,hardtop,rear,89.5,168.9,65.0,51.6,2756,six,194,207,5900,17,25,34028.0
129,porsche boxter,gas,two,convertible,rear,89.5,168.9,65.0,51.6,2800,six,194,207,5900,17,25,37028.0
130,porsche cayenne,gas,two,hatchback,front,98.4,175.7,72.3,50.5,3366,eight,203,288,5750,17,28,31400.5
131,renault 12tl,gas,four,wagon,front,96.1,181.5,66.5,55.2,2579,four,132,90,5100,23,31,9295.0
132,renault 5 gtl,gas,two,hatchback,front,96.1,176.8,66.6,50.5,2460,four,132,90,5100,23,31,9895.0
133,saab 99e,gas,two,hatchback,front,99.1,186.6,66.5,56.1,2658,four,121,110,5250,21,28,11850.0
134,saab 99le,gas,four,sedan,front,99.1,186.6,66.5,56.1,2695,four,121,110,5250,21,28,12170.0
135,saab 99le,gas,two,hatchback,front,99.1,186.6,66.5,56.1,2707,four,121,110,5250,21,28,15040.0
136,saab 99gle,gas,four,sedan,front,99.1,186.6,66.5,56.1,2758,four,121,110,5250,21,28,15510.0
137,saab 99gle,gas,two,hatchback,front,99.1,186.6,66.5,56.1,2808,four,121,160,5500,19,26,18150.0
138,saab 99e,gas,four,sedan,front,99.1,186.6,66.5,56.1,2847,four,121,160,5500,19,26,18620.0
139,subaru,gas,two,hatchback,front,93.7,156.9,63.4,53.7,2050,four,97,69,4900,31,36,5118.0
140,subaru dl,gas,two,hatchback,front,93.7,157.9,63.6,53.7,2120,four,108,73,4400,26,31,7053.0
141,subaru dl,gas,two,hatchback,front,93.3,157.3,63.8,55.7,2240,four,108,73,4400,26,31,7603.0
142,subaru,gas,four,sedan,front,97.2,172.0,65.4,52.5,2145,four,108,82,4800,32,37,7126.0
143,subaru brz,gas,four,sedan,front,97.2,172.0,65.4,52.5,2190,four,108,82,4400,28,33,7775.0
144,subaru baja,gas,four,sedan,front,97.2,172.0,65.4,52.5,2340,four,108,94,5200,26,32,9960.0
145,subaru r1,gas,four,sedan,front,97.0,172.0,65.4,54.3,2385,four,108,82,4800,24,25,9233.0
146,subaru r2,gas,four,sedan,front,97.0,172.0,65.4,54.3,2510,four,108,111,4800,24,29,11259.0
147,subaru trezia,gas,four,wagon,front,97.0,173.5,65.4,53.0,2290,four,108,82,4800,28,32,7463.0
148,subaru tribeca,gas,four,wagon,front,97.0,173.5,65.4,53.0,2455,four,108,94,5200,25,31,10198.0
149,subaru dl,gas,four,wagon,front,96.9,173.6,65.4,54.9,2420,four,108,82,4800,23,29,8013.0
150,subaru dl,gas,four,wagon,front,96.9,173.6,65.4,54.9,2650,four,108,111,4800,23,23,11694.0
151,toyota corona mark ii,gas,two,hatchback,front,95.7,158.7,63.6,54.5,1985,four,92,62,4800,35,39,5348.0
152,toyota corona,gas,two,hatchback,front,95.7,158.7,63.6,54.5,2040,four,92,62,4800,31,38,6338.0
153,toyota corolla 1200,gas,four,hatchback,front,95.7,158.7,63.6,54.5,2015,four,92,62,4800,31,38,6488.0
154,toyota corona hardtop,gas,four,wagon,front,95.7,169.7,63.6,59.1,2280,four,92,62,4800,31,37,6918.0
155,toyota corolla 1600 (sw),gas,four,wagon,front,95.7,169.7,63.6,59.1,2290,four,92,62,4800,27,32,7898.0
156,toyota carina,gas,four,wagon,front,95.7,169.7,63.6,59.1,3110,four,92,62,4800,27,32,8778.0
157,toyota mark ii,gas,four,sedan,front,95.7,166.3,64.4,53.0,2081,four,98,70,4800,30,37,6938.0
158,toyota corolla 1200,gas,four,hatchback,front,95.7,166.3,64.4,52.8,2109,four,98,70,4800,30,37,7198.0
159,toyota corona,diesel,four,sedan,front,95.7,166.3,64.4,53.0,2275,four,110,56,4500,34,36,7898.0
160,toyota corolla,diesel,four,hatchback,front,95.7,166.3,64.4,52.8,2275,four,110,56,4500,38,47,7788.0
161,toyota corona,gas,four,sedan,front,95.7,166.3,64.4,53.0,2094,four,98,70,4800,38,47,7738.0
162,toyota corolla,gas,four,hatchback,front,95.7,166.3,64.4,52.8,2122,four,98,70,4800,28,34,8358.0
163,toyota mark ii,gas,four,sedan,front,95.7,166.3,64.4,52.8,2140,four,98,70,4800,28,34,9258.0
164,toyota corolla liftback,gas,two,sedan,front,94.5,168.7,64.0,52.6,2169,four,98,70,4800,29,34,8058.0
165,toyota corona,gas,two,hatchback,front,94.5,168.7,64.0,52.6,2204,four,98,70,4800,29,34,8238.0
166,toyota celica gt liftback,gas,two,sedan,front,94.5,168.7,64.0,52.6,2265,four,98,112,6600,26,29,9298.0
167,toyota corolla tercel,gas,two,hatchback,front,94.5,168.7,64.0,52.6,2300,four,98,112,6600,26,29,9538.0
168,toyota corona liftback,gas,two,hardtop,front,98.4,176.2,65.6,52.0,2540,four,146,116,4800,24,30,8449.0
169,toyota corolla,gas,two,hardtop,front,98.4,176.2,65.6,52.0,2536,four,146,116,4800,24,30,9639.0
170,toyota starlet,gas,two,hatchback,front,98.4,176.2,65.6,52.0,2551,four,146,116,4800,24,30,9989.0
171,toyota tercel,gas,two,hardtop,front,98.4,176.2,65.6,52.0,2679,four,146,116,4800,24,30,11199.0
172,toyota corolla,gas,two,hatchback,front,98.4,176.2,65.6,52.0,2714,four,146,116,4800,24,30,11549.0
173,toyota cressida,gas,two,convertible,front,98.4,176.2,65.6,53.0,2975,four,146,116,4800,24,30,17669.0
174,toyota corolla,gas,four,sedan,front,102.4,175.6,66.5,54.9,2326,four,122,92,4200,29,34,8948.0
175,toyota celica gt,diesel,four,sedan,front,102.4,175.6,66.5,54.9,2480,four,110,73,4500,30,33,10698.0
176,toyota corona,gas,four,hatchback,front,102.4,175.6,66.5,53.9,2414,four,122,92,4200,27,32,9988.0
177,toyota corolla,gas,four,sedan,front,102.4,175.6,66.5,54.9,2414,four,122,92,4200,27,32,10898.0
178,toyota mark ii,gas,four,hatchback,front,102.4,175.6,66.5,53.9,2458,four,122,92,4200,27,32,11248.0
179,toyota corolla liftback,gas,two,hatchback,front,102.9,183.5,67.7,52.0,2976,six,171,161,5200,20,24,16558.0
180,toyota corona,gas,two,hatchback,front,102.9,183.5,67.7,52.0,3016,six,171,161,5200,19,24,15998.0
181,toyota starlet,gas,four,sedan,front,104.5,187.8,66.5,54.1,3131,six,171,156,5200,20,24,15690.0
182,toyouta tercel,gas,four,wagon,front,104.5,187.8,66.5,54.1,3151,six,161,156,5200,19,24,15750.0
183,vokswagen rabbit,diesel,two,sedan,front,97.3,171.7,65.5,55.7,2261,four,97,52,4800,37,46,7775.0
184,volkswagen 1131 deluxe sedan,gas,two,sedan,front,97.3,171.7,65.5,55.7,2209,four,109,85,5250,27,34,7975.0
185,volkswagen model 111,diesel,four,sedan,front,97.3,171.7,65.5,55.7,2264,four,97,52,4800,37,46,7995.0
186,volkswagen type 3,gas,four,sedan,front,97.3,171.7,65.5,55.7,2212,four,109,85,5250,27,34,8195.0
187,volkswagen 411 (sw),gas,four,sedan,front,97.3,171.7,65.5,55.7,2275,four,109,85,5250,27,34,8495.0
188,volkswagen super beetle,diesel,four,sedan,front,97.3,171.7,65.5,55.7,2319,four,97,68,4500,37,42,9495.0
189,volkswagen dasher,gas,four,sedan,front,97.3,171.7,65.5,55.7,2300,four,109,100,5500,26,32,9995.0
190,vw dasher,gas,two,convertible,front,94.5,159.3,64.2,55.6,2254,four,109,90,5500,24,29,11595.0
191,vw rabbit,gas,two,hatchback,front,94.5,165.7,64.0,51.4,2221,four,109,90,5500,24,29,9980.0
192,volkswagen rabbit,gas,four,sedan,front,100.4,180.2,66.9,55.1,2661,five,136,110,5500,19,24,13295.0
193,volkswagen rabbit custom,diesel,four,sedan,front,100.4,180.2,66.9,55.1,2579,four,97,68,4500,33,38,13845.0
194,volkswagen dasher,gas,four,wagon,front,100.4,183.1,66.9,55.1,2563,four,109,88,5500,25,31,12290.0
195,volvo 145e (sw),gas,four,sedan,front,104.3,188.8,67.2,56.2,2912,four,141,114,5400,23,28,12940.0
196,volvo 144ea,gas,four,wagon,front,104.3,188.8,67.2,57.5,3034,four,141,114,5400,23,28,13415.0
197,volvo 244dl,gas,four,sedan,front,104.3,188.8,67.2,56.2,2935,four,141,114,5400,24,28,15985.0
198,volvo 245,gas,four,wagon,front,104.3,188.8,67.2,57.5,3042,four,141,114,5400,24,28,16515.0
199,volvo 264gl,gas,four,sedan,front,104.3,188.8,67.2,56.2,3045,four,130,162,5100,17,22,18420.0
200,volvo diesel,gas,four,wagon,front,104.3,188.8,67.2,57.5,3157,four,130,162,5100,17,22,18950.0
201,volvo 145e (sw),gas,four,sedan,front,109.1,188.8,68.9,55.5,2952,four,141,114,5400,23,28,16845.0
202,volvo 144ea,gas,four,sedan,front,109.1,188.8,68.8,55.5,3049,four,141,160,5300,19,25,19045.0
203,volvo 244dl,gas,four,sedan,front,109.1,188.8,68.9,55.5,3012,six,173,134,5500,18,23,21485.0
204,volvo 246,diesel,four,sedan,front,109.1,188.8,68.9,55.5,3217,six,145,106,4800,26,27,22470.0
205,volvo 264gl,gas,four,sedan,front,109.1,188.8,68.9,55.5,3062,four,141,114,5400,19,25,22625.0
